rule,polynomial,degree_profile,algebraic_degree,n_monomials,support_indices
237,1 ⊕ L ⊕ LC ⊕ R ⊕ CR,"(1,2,2,0)",2,5,0|1|3|4|6
238,C ⊕ R ⊕ CR,"(0,2,1,0)",2,3,2|4|6
239,1 ⊕ L ⊕ LC ⊕ LR ⊕ LCR,"(1,1,2,1)",3,5,0|1|3|5|7
240,L,"(0,1,0,0)",1,1,1
241,1 ⊕ C ⊕ LC ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(1,2,3,1)",3,7,0|2|3|4|5|6|7
242,L ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(0,2,2,1)",3,5,1|4|5|6|7
243,1 ⊕ C ⊕ LC,"(1,1,1,0)",2,3,0|2|3
244,L ⊕ C ⊕ LC ⊕ CR ⊕ LCR,"(0,2,2,1)",3,5,1|2|3|6|7
245,1 ⊕ R ⊕ LR,"(1,1,1,0)",2,3,0|4|5
246,L ⊕ C ⊕ LC ⊕ R ⊕ LR,"(0,3,2,0)",2,5,1|2|3|4|5
247,1 ⊕ CR ⊕ LCR,"(1,0,1,1)",3,3,0|6|7
248,L ⊕ CR ⊕ LCR,"(0,1,1,1)",3,3,1|6|7
249,1 ⊕ C ⊕ LC ⊕ R ⊕ LR,"(1,2,2,0)",2,5,0|2|3|4|5
250,L ⊕ R ⊕ LR,"(0,2,1,0)",2,3,1|4|5
251,1 ⊕ C ⊕ LC ⊕ CR ⊕ LCR,"(1,1,2,1)",3,5,0|2|3|6|7
252,L ⊕ C ⊕ LC,"(0,2,1,0)",2,3,1|2|3
253,1 ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(1,1,2,1)",3,5,0|4|5|6|7
254,L ⊕ C ⊕ LC ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(0,3,3,1)",3,7,1|2|3|4|5|6|7
255,1,"(1,0,0,0)",0,1,0
