rule,wolfram_class,g_entropy,g_entropy_std,g_block_entropy,g_corr_length,g_temporal_acf,g_hamming,g_compressibility
54,4,0.8275718591029534,0.015543723836932404,2.740260694835828,1.0,0.48995762991111,0.46571362070183747,0.2908789386401327
106,4,0.9944333363809974,0.0005762836701535653,3.5661200043185106,1.0,0.058477755919148014,0.37514141905343795,0.36019900497512425
110,4,0.939185258819947,0.002055191334286134,3.1159300782410617,1.0,0.11697347658221781,0.2969538273544559,0.26467661691542294
124,4,0.9399726055384511,0.001634988558625231,3.1296917527097508,1.0,0.11770535013184492,0.2964833310473531,0.2593698175787728
137,4,0.930446553916753,0.004048020734453685,3.1123619247803727,1.0,0.12196891519561005,0.2872679210463971,0.2557213930348259
193,4,0.9315683344011096,0.002656117691504142,2.9680246085848565,1.0,0.12061422625319493,0.2867122200193685,0.2477611940298508
0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.11940298507462684
32,1,0.0,0.0,0.0,0.0,1.0,0.0,0.11940298507462684
4,2,0.0,0.0,0.0,0.0,1.0,0.0,0.11940298507462684
108,2,0.1008157770642653,0.06468857825177679,0.3197832989375246,0.9333333333333333,1.0,0.0,0.14643449419568827
30,3,0.9521939363417844,0.0012589553235270634,3.480907145006174,1.0,0.0419471947134802,0.3130288407586129,0.35936981757877273
90,3,0.0,0.0,0.0,0.0,1.0,0.0,0.11940298507462684
150,3,0.0,0.0,0.0,0.0,1.0,0.0,0.11940298507462684
