rule,variant,entropy_mean,entropy_std,corr_length_mean,corr_length_std
0,"[E,D]",0.0,0.0,0.0,0.0
0,"[E,D₂]",0.0,0.0,0.0,0.0
0,"[E²,D]",0.0,0.0,0.0,0.0
0,"[E³,D]",0.0,0.0,0.0,0.0
0,"[E⁴,D]",0.0,0.0,0.0,0.0
0,"[E,[E,D]]",0.0,0.0,0.0,0.0
0,"{E,D}",0.0,0.0,0.0,0.0
4,"[E,D]",0.0,0.0,0.0,0.0
4,"[E,D₂]",0.0,0.0,0.0,0.0
4,"[E²,D]",0.0,0.0,0.0,0.0
4,"[E³,D]",0.0,0.0,0.0,0.0
4,"[E⁴,D]",0.0,0.0,0.0,0.0
4,"[E,[E,D]]",0.0,0.0,0.0,0.0
4,"{E,D}",0.0,0.0,0.0,0.0
22,"[E,D]",0.7843464162848128,0.020050719146251575,1.1846666666666663,0.034945460151286974
22,"[E,D₂]",0.9173163764982006,0.011699771974591093,1.3591111111111116,0.0611914623270959
22,"[E²,D]",0.9509768848558724,0.0081501679492768,1.004,0.005047918529600261
22,"[E³,D]",0.9478850053504154,0.012284677441959069,1.0326666666666666,0.020392445950690938
22,"[E⁴,D]",0.9782180778290008,0.003956383683113314,1.0,0.0
22,"[E,[E,D]]",0.8993959734551678,0.010067137603554864,1.0224444444444445,0.010397055613590724
22,"{E,D}",0.8476956598370098,0.005410811878972225,1.0519999999999998,0.01800411475602585
30,"[E,D]",0.9489402895298884,0.0033681549411503,1.0,0.0
30,"[E,D₂]",0.8507121218742552,0.005283197568136833,1.0013333333333334,0.0026666666666666397
30,"[E²,D]",0.9188236547212116,0.004011735135713105,1.0068888888888887,0.005573304979548674
30,"[E³,D]",0.9873604155585618,0.0012858753096140053,1.0,0.0
30,"[E⁴,D]",0.9820529809350437,0.001791658673251429,1.0002222222222223,0.0011967032904743218
30,"[E,[E,D]]",0.9647616816234971,0.0034549420469897553,1.002,0.0035066075195687657
30,"{E,D}",0.8913354819783947,0.002669952188424103,1.0,0.0
32,"[E,D]",0.0,0.0,0.0,0.0
