representative,equivalents,wolfram_class,n_equivalents,g_nonzero_single_cell,g_nonzero_random_frac,g_entropy_mean,g_entropy_std,g_corr_length_mean,g_compressibility_mean,g_periodicity_mode,affine_base,perturbation_weight
160,160|250,I,2,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,0,0.25
162,162|176|186|242,II,4,True,1.0,0.6427643070895377,0.049808935847197776,1.0,0.4273267326732674,1,R,0.125
164,164|218,II,2,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,1^L^R,0.125
168,168|224|234|248,I,4,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,R,0.125
170,170|240,II,2,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,R,0.0
172,172|202|216|228,II,4,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,C,0.25
178,178,II,1,True,0.0,0.0,0.0,0.0,0.2376237623762376,1,L,0.25
184,184|226,II,2,True,0.88,0.3045536800441529,0.19046399645783707,1.0,0.32811881188118813,1,L,0.25
200,200|236,II,2,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,C,0.125
204,204,II,1,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,C,0.0
232,232,II,1,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,L,0.25
